"year","teamId","team","conference","division","expectedWins","total.games","total.wins","total.losses","total.ties","conferenceGames.games","conferenceGames.wins","conferenceGames.losses","conferenceGames.ties","homeGames.games","homeGames.wins","homeGames.losses","homeGames.ties","awayGames.games","awayGames.wins","awayGames.losses","awayGames.ties"
2022,2,"Auburn","SEC","West",6.7,12,5,7,0,8,2,6,0,8,5,3,0,4,0,4,0
2022,5,"UAB","Conference USA","",8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0
2022,6,"South Alabama","Sun Belt","West",10.3,13,10,3,0,8,7,1,0,6,5,1,0,6,5,1,0
2022,8,"Arkansas","SEC","West",8.5,13,7,6,0,8,3,5,0,7,4,3,0,4,2,2,0
2022,9,"Arizona State","Pac-12","",4.3,12,3,9,0,9,2,7,0,6,2,4,0,6,1,5,0
2022,12,"Arizona","Pac-12","",4,12,5,7,0,9,3,6,0,7,3,4,0,5,2,3,0
2022,21,"San Diego State","Mountain West","West",7.6,13,7,6,0,8,5,3,0,7,5,2,0,5,2,3,0
2022,23,"San José State","Mountain West","West",5.5,12,7,5,0,8,5,3,0,6,6,0,0,5,1,4,0
2022,24,"Stanford","Pac-12","",2.9,12,3,9,0,9,1,8,0,6,2,4,0,6,1,5,0
2022,25,"California","Pac-12","",3.7,12,4,8,0,9,2,7,0,7,4,3,0,5,0,5,0
2022,26,"UCLA","Pac-12","",9.8,13,9,4,0,9,6,3,0,8,6,2,0,4,3,1,0
2022,30,"USC","Pac-12","",9.8,14,11,3,0,10,8,2,0,7,7,0,0,5,4,1,0
2022,36,"Colorado State","Mountain West","Mountain",4,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0
2022,38,"Colorado","Pac-12","",1,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0
2022,41,"Connecticut","FBS Independents","",6.3,13,6,7,0,0,0,0,0,6,5,1,0,6,1,5,0
2022,52,"Florida State","ACC","Atlantic",9.5,13,10,3,0,8,5,3,0,7,5,2,0,4,3,1,0
2022,57,"Florida","SEC","East",6.3,13,6,7,0,8,3,5,0,7,5,2,0,4,1,3,0
2022,58,"South Florida","American Athletic","",3.2,12,1,11,0,8,0,8,0,5,1,4,0,6,0,6,0
2022,59,"Georgia Tech","ACC","Coastal",3.7,12,5,7,0,8,4,4,0,5,2,3,0,6,3,3,0
2022,61,"Georgia","SEC","East",14.4,15,15,0,0,9,9,0,0,6,6,0,0,4,4,0,0
2022,62,"Hawai'i","Mountain West","West",2.9,13,3,10,0,8,2,6,0,7,3,4,0,6,0,6,0
2022,66,"Iowa State","Big 12","",4.7,12,4,8,0,9,1,8,0,7,3,4,0,5,1,4,0
2022,68,"Boise State","Mountain West","Mountain",8.6,14,10,4,0,9,8,1,0,7,5,2,0,6,4,2,0
2022,77,"Northwestern","Big Ten","West",3.5,12,1,11,0,9,1,8,0,6,0,6,0,5,0,5,0
