"season","team","conference","statName","statValue"
2022,"Liberty","FBS Independents","totalYards",5056
2022,"Missouri","SEC","kickReturnTDs",0
2022,"North Texas","Conference USA","fourthDowns",23
2022,"UAB","Conference USA","thirdDownConversions",74
2022,"Cincinnati","American Athletic","passAttempts",417
2022,"Colorado","Pac-12","tacklesForLoss",49
2022,"Central Michigan","Mid-American","rushingAttempts",444
2022,"Boise State","Mountain West","fumblesRecovered",6
2022,"Air Force","Mountain West","firstDowns",266
2022,"UT San Antonio","Conference USA","fumblesLost",10
2022,"Florida International","Conference USA","kickReturnYards",712
2022,"Troy","Sun Belt","passCompletions",251
2022,"Washington State","Pac-12","fourthDownConversions",13
2022,"San José State","Mountain West","puntReturnYards",39
2022,"Nevada","Mountain West","interceptionTDs",1
2022,"Middle Tennessee","Conference USA","thirdDowns",202
2022,"Southern Mississippi","Sun Belt","puntReturnYards",308
2022,"Nevada","Mountain West","kickReturnYards",636
2022,"Missouri","SEC","passAttempts",391
2022,"Colorado State","Mountain West","turnovers",19
2022,"UCLA","Pac-12","kickReturnTDs",0
2022,"Eastern Michigan","Mid-American","thirdDowns",177
2022,"Kentucky","SEC","passCompletions",224
2022,"Notre Dame","FBS Independents","fumblesRecovered",8
2022,"Northern Illinois","Mid-American","kickReturns",26
2022,"Memphis","American Athletic","turnovers",16
2022,"Arkansas","SEC","fourthDownConversions",9
2022,"South Alabama","Sun Belt","fourthDownConversions",17
2022,"Virginia Tech","ACC","interceptionTDs",1
2022,"Georgia State","Sun Belt","games",12
2022,"Georgia State","Sun Belt","passesIntercepted",13
2022,"Maryland","Big Ten","fourthDowns",28
2022,"Oklahoma","Big 12","penalties",74
2022,"San José State","Mountain West","fumblesRecovered",9
2022,"Michigan","Big Ten","rushingAttempts",600
2022,"Rutgers","Big Ten","fumblesRecovered",8
2022,"Akron","Mid-American","possessionTime",19937
2022,"Indiana","Big Ten","possessionTime",18459
2022,"Colorado","Pac-12","penalties",64
2022,"Stanford","Pac-12","kickReturnTDs",0
2022,"Michigan State","Big Ten","passAttempts",412
2022,"Wake Forest","ACC","penalties",62
2022,"Oregon State","Pac-12","turnovers",18
2022,"UAB","Conference USA","games",13
2022,"Central Michigan","Mid-American","rushingTDs",22
2022,"Texas A&M","SEC","passCompletions",220
2022,"Troy","Sun Belt","rushingAttempts",497
2022,"Arkansas State","Sun Belt","rushingAttempts",381
2022,"Akron","Mid-American","puntReturnYards",88
2022,"Hawai'i","Mountain West","interceptionYards",124
2022,"Utah","Pac-12","possessionTime",28286
2022,"South Carolina","SEC","thirdDownConversions",62
2022,"Ball State","Mid-American","rushingYards",1893
2022,"Florida","SEC","passesIntercepted",9
2022,"Southern Mississippi","Sun Belt","sacks",39
2022,"Pittsburgh","ACC","passesIntercepted",14
2022,"Texas","Big 12","passCompletions",248
2022,"Kansas","Big 12","interceptionTDs",1
2022,"Temple","American Athletic","games",12
2022,"Texas Tech","Big 12","fumblesRecovered",13
2022,"Tulane","American Athletic","fourthDownConversions",16
2022,"Washington State","Pac-12","tacklesForLoss",75
2022,"SMU","American Athletic","fumblesRecovered",12
2022,"Arkansas State","Sun Belt","passAttempts",396
2022,"Arizona","Pac-12","netPassingYards",3821
2022,"Fresno State","Mountain West","interceptionYards",140
2022,"Louisiana","Sun Belt","kickReturnYards",467
2022,"Baylor","Big 12","interceptionYards",87
2022,"Middle Tennessee","Conference USA","rushingTDs",20
2022,"Ball State","Mid-American","puntReturnTDs",0
2022,"Appalachian State","Sun Belt","possessionTime",22029
2022,"Utah","Pac-12","firstDowns",363
2022,"Florida","SEC","puntReturns",18
2022,"Akron","Mid-American","interceptionYards",119
2022,"Bowling Green","Mid-American","interceptions",11
2022,"Louisville","ACC","fourthDowns",30
2022,"Indiana","Big Ten","tacklesForLoss",63
2022,"Louisiana","Sun Belt","fourthDowns",33
2022,"UTEP","Conference USA","puntReturnTDs",1
2022,"San Diego State","Mountain West","interceptionYards",34
2022,"Michigan","Big Ten","fourthDownConversions",18
2022,"UCLA","Pac-12","interceptionTDs",1
2022,"Georgia Tech","ACC","passCompletions",219
2022,"Iowa State","Big 12","fourthDowns",27
2022,"Virginia Tech","ACC","possessionTime",19239
2022,"Vanderbilt","SEC","thirdDowns",171
2022,"Auburn","SEC","penalties",90
2022,"Clemson","ACC","passCompletions",297
2022,"Missouri","SEC","penalties",101
2022,"Kentucky","SEC","interceptionTDs",1
2022,"Virginia Tech","ACC","tacklesForLoss",74
2022,"Akron","Mid-American","sacks",18
2022,"Old Dominion","Sun Belt","passesIntercepted",12
2022,"Virginia Tech","ACC","thirdDownConversions",50
2022,"Middle Tennessee","Conference USA","puntReturns",23
2022,"Stanford","Pac-12","turnovers",21
2022,"Arkansas","SEC","thirdDownConversions",89
2022,"Houston","American Athletic","penaltyYards",909
2022,"Penn State","Big Ten","kickReturnYards",447
2022,"Georgia","SEC","fumblesRecovered",11
2022,"Utah State","Mountain West","kickReturnTDs",1
2022,"Auburn","SEC","fourthDownConversions",13
2022,"Boise State","Mountain West","passCompletions",229
2022,"Charlotte","Conference USA","rushingAttempts",371
2022,"Indiana","Big Ten","kickReturns",31
2022,"Kentucky","SEC","fourthDownConversions",16
2022,"Virginia Tech","ACC","sacks",23
2022,"Air Force","Mountain West","rushingAttempts",802
2022,"South Alabama","Sun Belt","interceptionTDs",2
2022,"South Carolina","SEC","fourthDowns",21
2022,"Duke","ACC","possessionTime",25813
2022,"Kansas","Big 12","fumblesRecovered",11
2022,"North Carolina","ACC","fumblesLost",7
2022,"Western Kentucky","Conference USA","kickReturnTDs",0
2022,"Miami","ACC","games",12
2022,"Houston","American Athletic","possessionTime",23304
2022,"Texas","Big 12","interceptionYards",167
2022,"Temple","American Athletic","thirdDownConversions",57
2022,"Georgia State","Sun Belt","fourthDownConversions",15
2022,"Houston","American Athletic","interceptions",10
2022,"Utah State","Mountain West","netPassingYards",2537
2022,"San José State","Mountain West","passAttempts",430
2022,"North Texas","Conference USA","turnovers",22
2022,"Old Dominion","Sun Belt","rushingTDs",8
2022,"UAB","Conference USA","penaltyYards",787
2022,"Boise State","Mountain West","kickReturns",24
2022,"North Texas","Conference USA","kickReturns",44
2022,"UTEP","Conference USA","games",12
2022,"Florida State","ACC","possessionTime",24198
2022,"Ohio State","Big Ten","rushingTDs",30
2022,"Florida Atlantic","Conference USA","passingTDs",25
2022,"USC","Pac-12","games",14
2022,"Navy","American Athletic","passesIntercepted",8
2022,"TCU","Big 12","penalties",72
2022,"Tulsa","American Athletic","fourthDownConversions",11
2022,"South Alabama","Sun Belt","thirdDownConversions",83
2022,"Missouri","SEC","passingTDs",13
2022,"Pittsburgh","ACC","interceptionYards",215
2022,"West Virginia","Big 12","totalYards",4778
2022,"Notre Dame","FBS Independents","netPassingYards",2693
2022,"Mississippi State","SEC","puntReturnTDs",1
2022,"Illinois","Big Ten","totalYards",4902
2022,"Coastal Carolina","Sun Belt","fourthDowns",21
2022,"Georgia State","Sun Belt","thirdDowns",182
2022,"Oregon State","Pac-12","kickReturnYards",667
2022,"Virginia","ACC","games",10
2022,"New Mexico State","FBS Independents","games",13
2022,"Arizona State","Pac-12","puntReturnTDs",0
2022,"Louisville","ACC","fumblesLost",11
2022,"South Florida","American Athletic","turnovers",20
2022,"UTEP","Conference USA","interceptionYards",4
2022,"UCF","American Athletic","tacklesForLoss",70
2022,"San José State","Mountain West","fourthDowns",17
2022,"Arkansas State","Sun Belt","passingTDs",16
2022,"UCLA","Pac-12","fumblesLost",8
2022,"Ole Miss","SEC","turnovers",20
2022,"Georgia State","Sun Belt","kickReturnTDs",0
2022,"Oklahoma","Big 12","kickReturnYards",481
2022,"UCLA","Pac-12","kickReturnYards",759
2022,"Oregon","Pac-12","fumblesLost",3
2022,"North Texas","Conference USA","kickReturnTDs",1
2022,"Buffalo","Mid-American","totalYards",4615
2022,"Tulsa","American Athletic","passingTDs",27
2022,"USC","Pac-12","interceptionYards",339
2022,"Southern Mississippi","Sun Belt","passesIntercepted",16
2022,"Florida","SEC","rushingTDs",29
2022,"Akron","Mid-American","passAttempts",457
2022,"Auburn","SEC","passingTDs",9
2022,"Hawai'i","Mountain West","interceptions",12
2022,"Utah","Pac-12","passAttempts",446
2022,"Louisiana Tech","Conference USA","totalYards",4712
2022,"UAB","Conference USA","rushingAttempts",528
2022,"UNLV","Mountain West","passesIntercepted",15
2022,"Boston College","ACC","fourthDownConversions",8
2022,"Ball State","Mid-American","interceptionTDs",0
2022,"Navy","American Athletic","passingTDs",9
2022,"South Carolina","SEC","games",13
2022,"Baylor","Big 12","rushingTDs",34
2022,"Miami (OH)","Mid-American","fourthDownConversions",11
2022,"Middle Tennessee","Conference USA","thirdDownConversions",69
2022,"Washington State","Pac-12","firstDowns",253
2022,"Hawai'i","Mountain West","puntReturnYards",52
2022,"Florida","SEC","passingTDs",18
2022,"LSU","SEC","passesIntercepted",9
2022,"Washington State","Pac-12","passingTDs",24
2022,"Washington State","Pac-12","fumblesRecovered",16
2022,"Kentucky","SEC","passingTDs",21
2022,"Utah","Pac-12","kickReturns",8
2022,"Illinois","Big Ten","fourthDownConversions",12
2022,"Appalachian State","Sun Belt","kickReturnTDs",1
2022,"Cincinnati","American Athletic","netPassingYards",3155
2022,"Ball State","Mid-American","games",12
2022,"Arkansas State","Sun Belt","interceptionTDs",1
2022,"Syracuse","ACC","fumblesLost",4
2022,"Nebraska","Big Ten","rushingTDs",17
2022,"Arkansas","SEC","interceptionTDs",0
2022,"Virginia","ACC","penalties",70
2022,"North Carolina","ACC","passAttempts",525
2022,"Texas State","Sun Belt","puntReturnTDs",0
2022,"UTEP","Conference USA","totalYards",4631
2022,"North Texas","Conference USA","fumblesRecovered",11
2022,"Minnesota","Big Ten","netPassingYards",2369
2022,"Illinois","Big Ten","games",13
2022,"BYU","FBS Independents","fumblesRecovered",5
2022,"TCU","Big 12","interceptionYards",282
2022,"South Carolina","SEC","firstDowns",246
2022,"North Carolina","ACC","fourthDownConversions",25
2022,"Clemson","ACC","firstDowns",319
2022,"Tulane","American Athletic","fourthDowns",27
2022,"Arkansas","SEC","thirdDowns",194
2022,"Ball State","Mid-American","passesIntercepted",7
2022,"Louisiana Monroe","Sun Belt","totalYards",3911
2022,"South Florida","American Athletic","thirdDownConversions",59
2022,"New Mexico","Mountain West","penaltyYards",614
2022,"Duke","ACC","puntReturns",13
2022,"James Madison","Sun Belt","sacks",38
2022,"Syracuse","ACC","sacks",33
2022,"Alabama","SEC","puntReturns",30
2022,"Nebraska","Big Ten","sacks",22
2022,"Wyoming","Mountain West","fumblesLost",3
2022,"Texas Tech","Big 12","rushingTDs",28
2022,"Tulane","American Athletic","thirdDownConversions",66
2022,"Penn State","Big Ten","passingTDs",29
2022,"Appalachian State","Sun Belt","rushingTDs",27
2022,"Indiana","Big Ten","rushingYards",1330
2022,"Tennessee","SEC","thirdDowns",166
2022,"San Diego State","Mountain West","passingTDs",15
2022,"James Madison","Sun Belt","penaltyYards",439
2022,"Georgia","SEC","passingTDs",31
2022,"Oklahoma State","Big 12","tacklesForLoss",86
2022,"Michigan State","Big Ten","thirdDownConversions",59
2022,"Wyoming","Mountain West","interceptionTDs",1
2022,"Connecticut","FBS Independents","possessionTime",23632
2022,"San Diego State","Mountain West","kickReturnTDs",1
2022,"UCF","American Athletic","games",14
2022,"Virginia","ACC","passingTDs",7
2022,"Washington","Pac-12","possessionTime",24444
2022,"Rice","Conference USA","netPassingYards",3027
2022,"Rice","Conference USA","fumblesLost",12
2022,"Louisville","ACC","turnovers",23
2022,"Bowling Green","Mid-American","puntReturnTDs",2
2022,"James Madison","Sun Belt","passesIntercepted",11
2022,"Arizona","Pac-12","fourthDownConversions",10
2022,"Northwestern","Big Ten","kickReturns",12
2022,"Western Michigan","Mid-American","firstDowns",199
2022,"Wyoming","Mountain West","thirdDowns",175
2022,"Wyoming","Mountain West","passingTDs",11
2022,"San José State","Mountain West","netPassingYards",3261
2022,"Florida","SEC","interceptions",9
2022,"Kent State","Mid-American","penalties",80
2022,"Oregon State","Pac-12","puntReturnYards",319
2022,"Louisiana","Sun Belt","passCompletions",252
2022,"Toledo","Mid-American","totalYards",5638
2022,"Rutgers","Big Ten","penalties",94
2022,"UNLV","Mountain West","thirdDowns",156
2022,"Mississippi State","SEC","fourthDowns",29
2022,"Oklahoma","Big 12","fourthDownConversions",11
2022,"Western Kentucky","Conference USA","rushingAttempts",414
2022,"Florida State","ACC","firstDowns",315
2022,"UMass","FBS Independents","totalYards",3207
2022,"Virginia Tech","ACC","thirdDowns",159
2022,"UNLV","Mountain West","rushingAttempts",403
2022,"Connecticut","FBS Independents","games",13
2022,"Oregon","Pac-12","totalYards",6507
2022,"Louisville","ACC","tacklesForLoss",93
2022,"Stanford","Pac-12","passAttempts",448
2022,"Florida Atlantic","Conference USA","fourthDowns",21
2022,"Northwestern","Big Ten","kickReturnTDs",0
2022,"UCLA","Pac-12","passCompletions",291
2022,"Arizona","Pac-12","fumblesLost",8
2022,"Arizona","Pac-12","rushingYards",1728
2022,"Boise State","Mountain West","passAttempts",385
2022,"Oregon State","Pac-12","passCompletions",201
2022,"Fresno State","Mountain West","penalties",63
2022,"Troy","Sun Belt","puntReturnYards",132
2022,"UTEP","Conference USA","thirdDownConversions",66
2022,"San Diego State","Mountain West","tacklesForLoss",84
2022,"Florida State","ACC","passCompletions",249
